ts,open,high,low,close,volume,quote_volume,trades,taker_buy_volume
1777593600000,76346.58,76396.19,76320.42,76381.58,112.20956,8569201.0102446,3567,99.33187
1777593660000,76381.57,76422.13,76381.57,76416.74,6.22972,476010.6098861,1874,4.8027
1777593720000,76416.73,76434.52,76416.73,76421.0,4.7873,365882.7116227,1217,3.87039
1777593780000,76421.0,76475.73,76413.29,76475.72,12.66236,967999.8999177,2544,12.05406
1777593840000,76475.72,76490.4,76475.72,76490.4,4.78268,365820.7154433,1202,3.8692
1777593900000,76490.39,76490.4,76452.15,76471.54,11.16228,853531.2558404,2167,9.43473
1777593960000,76471.54,76498.37,76471.54,76478.61,9.52306,728450.1463592,2180,5.72804
1777594020000,76478.61,76478.62,76458.0,76458.0,10.0213,766317.8469949,1538,3.31952
1777594080000,76458.0,76471.37,76458.0,76471.37,1.14472,87524.7155908,660,0.88335
1777594140000,76471.38,76514.0,76471.37,76506.43,2.25457,172467.8744568,1616,1.7495
1777594200000,76506.43,76506.44,76486.75,76486.76,1.30994,100209.8497537,837,0.18162
1777594260000,76486.76,76496.36,76486.75,76487.73,1.73187,132468.9745063,1062,1.22548
1777594320000,76487.74,76493.18,76480.99,76493.18,4.14333,316909.8904064,802,1.45998
1777594380000,76493.55,76493.56,76458.0,76458.01,3.27516,250477.6791851,1068,0.19361
1777594440000,76458.0,76469.81,76456.38,76469.81,1.63048,124667.1390315,1061,0.85386
1777594500000,76469.8,76525.47,76469.8,76525.47,4.99141,381878.5181553,1789,4.26629
1777594560000,76525.46,76564.01,76525.46,76564.01,6.73296,515430.8375416,2706,6.11461
1777594620000,76564.01,76571.54,76548.56,76548.57,2.58627,198008.4865451,1029,0.8104
1777594680000,76548.57,76578.0,76548.56,76549.38,7.28457,557718.5393898,2118,1.63634
1777594740000,76549.38,76549.38,76498.01,76513.57,12.48396,955347.1091428,1956,3.18286
1777594800000,76513.57,76516.0,76502.8,76516.0,1.68278,128747.3429809,786,0.38175
1777594860000,76516.0,76521.76,76505.86,76505.87,1.92743,147484.3981826,585,0.35406
1777594920000,76505.87,76506.79,76474.12,76484.32,2.54708,194839.0002772,1447,0.60777
1777594980000,76484.32,76486.75,76480.22,76480.23,1.1615,88835.5147506,697,0.252
1777595040000,76480.22,76489.78,76480.22,76489.77,0.57527,43999.883737,430,0.369
1777595100000,76489.77,76520.66,76489.77,76520.66,5.05595,386857.0062412,917,4.84209
1777595160000,76520.65,76521.42,76520.0,76520.0,4.37992,335154.1504391,274,1.35645
1777595220000,76520.0,76521.5,76520.0,76521.49,0.66296,50730.1125254,180,0.31164
1777595280000,76521.5,76521.5,76521.49,76521.49,2.47976,189754.9337132,169,0.36708
1777595340000,76521.5,76531.82,76521.49,76531.81,1.91808,146785.9185995,353,1.68077
1777595400000,76531.82,76560.0,76531.81,76537.48,14.62459,1119320.386017,1353,13.62543
1777595460000,76537.49,76547.14,76537.48,76542.51,4.75863,364255.0079041,626,2.84099
1777595520000,76542.51,76542.52,76534.15,76541.76,1.18439,90650.1717829,668,0.53938
1777595580000,76541.76,76541.76,76541.75,76541.76,0.68526,52451.0021381,118,0.25331
1777595640000,76541.76,76541.76,76482.71,76486.15,104.95384,8031000.3124974,1344,1.24215
1777595700000,76486.14,76504.0,76482.71,76503.99,3.13962,240156.4176395,842,2.50529
1777595760000,76504.0,76504.0,76465.54,76465.54,3.80592,291130.9525709,1408,0.42025
1777595820000,76465.18,76469.78,76465.17,76469.77,2.15446,164743.0617895,426,1.35277
1777595880000,76469.78,76484.44,76469.77,76484.43,1.46348,111927.995306,565,0.63151
1777595940000,76484.44,76484.44,76458.0,76464.99,9.63083,736455.7793389,1254,6.19778
1777596000000,76464.99,76478.86,76464.99,76478.86,1.61729,123671.3549871,544,1.21827
1777596060000,76478.86,76500.01,76478.12,76500.01,0.992,75875.793052,797,0.65242
1777596120000,76500.01,76500.01,76500.0,76500.01,1.04863,80220.2011465,132,0.61465
1777596180000,76500.0,76512.84,76492.78,76512.84,51.1927,3916240.1109292,1208,50.11067
1777596240000,76512.85,76529.96,76512.84,76528.37,2.08008,159181.4847428,808,1.59681
1777596300000,76528.37,76543.16,76528.37,76543.16,1.08804,83274.2671039,697,0.55244
1777596360000,76543.15,76591.0,76540.11,76540.12,6.1922,474103.3045605,2905,3.27015
1777596420000,76540.11,76540.12,76523.52,76523.53,1.27812,97815.3218373,762,0.29133
1777596480000,76523.52,76523.52,76515.29,76520.82,7.71975,590692.4432736,1074,5.66497
1777596540000,76520.82,76523.53,76490.14,76490.15,3.66839,280690.7581768,1259,2.14069
1777596600000,76490.15,76492.55,76479.27,76492.55,5.49718,420453.2932732,956,3.82834
1777596660000,76492.55,76492.55,76458.0,76458.01,2.48104,189750.5601722,1400,0.98017
1777596720000,76458.0,76470.0,76450.66,76470.0,2.36013,180463.7639627,1222,0.79457
1777596780000,76470.0,76472.36,76469.99,76472.36,0.72623,55534.8199554,319,0.42778
1777596840000,76472.54,76485.57,76461.59,76461.6,2.34121,179038.0650653,1450,0.32309
1777596900000,76461.59,76467.57,76461.59,76467.57,0.65429,50030.9288094,309,0.47343
1777596960000,76467.56,76467.56,76437.1,76437.1,6.20484,474395.0256069,1323,1.05353
1777597020000,76437.08,76437.09,76420.07,76430.86,8.60259,657437.8604018,1016,6.19349
1777597080000,76430.86,76431.22,76412.22,76412.23,2.74234,209591.4396496,921,0.78108
1777597140000,76412.23,76458.05,76402.91,76458.05,4.66214,356316.7964704,1561,4.23115
1777597200000,76458.06,76472.0,76449.5,76471.99,3.70267,283099.5656187,1310,0.87978
1777597260000,76472.0,76485.0,76472.0,76475.76,7.00181,535524.2091132,929,1.08837
1777597320000,76475.76,76475.77,76470.68,76470.68,0.97641,74669.1093006,659,0.31502
1777597380000,76470.68,76470.69,76452.12,76458.0,4.72141,360996.3144012,822,0.99761
1777597440000,76458.01,76465.7,76458.0,76465.69,0.56586,43267.9894779,393,0.26348
1777597500000,76465.69,76500.0,76465.69,76500.0,3.15327,241180.8445349,815,2.66528
1777597560000,76500.0,76518.74,76500.0,76518.73,1.05842,80981.9028693,812,0.63252
1777597620000,76518.73,76543.91,76518.73,76543.9,8.72183,667544.5686801,774,8.47691
1777597680000,76543.9,76581.88,76543.9,76550.52,5.69202,435805.2007301,1843,3.38531
1777597740000,76550.52,76561.47,76550.52,76561.47,2.32725,178167.5121751,403,1.96885
1777597800000,76561.46,76581.48,76538.56,76538.57,11.86646,908588.3461036,1558,4.11591
1777597860000,76538.56,76563.67,76538.56,76563.67,1.82771,139905.0809744,869,1.57813
1777597920000,76563.68,76589.34,76563.68,76589.34,0.9041,69235.8470974,930,0.81308
1777597980000,76589.34,76589.34,76589.33,76589.33,1.3928,106673.6313409,109,1.25169
1777598040000,76589.34,76589.34,76564.0,76564.0,12.66058,969554.9854105,533,0.31319
1777598100000,76564.0,76626.33,76564.0,76617.07,17.72785,1358110.8323028,2138,11.73484
1777598160000,76617.06,76623.18,76605.55,76611.82,7.14773,547639.9078741,1142,6.25297
1777598220000,76612.27,76614.18,76601.73,76605.56,1.23173,94362.0515283,688,0.40729
1777598280000,76605.55,76630.0,76605.55,76616.7,6.44178,493615.2148136,1039,1.05998
1777598340000,76616.7,76616.71,76616.7,76616.7,0.63895,48954.2421862,88,0.17212
1777598400000,76616.7,76623.24,76616.7,76623.23,2.37511,181981.5800588,272,0.81815
1777598460000,76623.24,76623.24,76623.23,76623.23,2.05293,157302.132425,150,0.48611
1777598520000,76623.24,76630.0,76616.7,76616.7,5.46526,418795.9668532,730,0.75072
1777598580000,76616.7,76616.71,76581.12,76581.13,55.98655,4288607.9872731,1347,1.7766
1777598640000,76581.12,76581.72,76572.1,76572.11,2.11977,162331.3395812,519,0.36558
1777598700000,76572.11,76572.11,76538.25,76538.25,2.20467,168782.269042,882,0.58102
1777598760000,76538.25,76538.25,76533.27,76533.28,0.77847,59579.3573166,281,0.36838
1777598820000,76533.28,76533.28,76530.01,76533.27,0.7155,54758.825831,317,0.44918
1777598880000,76533.27,76533.28,76533.27,76533.28,0.92676,70927.9750424,114,0.17372
1777598940000,76533.27,76536.82,76533.27,76536.81,1.73878,133075.5085229,243,1.55375
1777599000000,76536.81,76537.14,76536.81,76537.14,6.82783,522580.4672616,255,6.65114
1777599060000,76537.13,76550.11,76537.0,76550.11,8.11036,620745.6157748,1096,0.72514
1777599120000,76550.11,76551.88,76548.97,76551.88,2.06044,157725.4483633,365,1.86957
1777599180000,76551.87,76571.0,76551.87,76570.99,1.51007,115613.4885802,720,1.17167
1777599240000,76570.99,76571.0,76570.99,76571.0,3.17295,242955.9260987,820,0.33782
1777599300000,76570.99,76587.06,76570.99,76580.07,6.46442,495051.2596795,934,6.19756
1777599360000,76580.07,76587.06,76580.07,76587.05,1.35225,103561.0855122,744,0.57714
1777599420000,76587.06,76596.07,76587.05,76596.07,1.02083,78188.2711498,353,0.83881
1777599480000,76596.07,76597.84,76579.38,76579.39,4.15173,317977.5076195,842,0.34283
1777599540000,76579.39,76585.37,76579.38,76585.37,0.45935,35177.8197249,289,0.3644
1777599600000,76585.36,76585.37,76585.36,76585.37,0.47829,36630.0147703,153,0.29359
1777599660000,76585.36,76602.81,76585.36,76602.81,1.60702,123082.0922429,830,1.34739
1777599720000,76602.8,76626.1,76602.8,76626.1,52.00836,3984058.7564918,851,50.65264
1777599780000,76626.11,76640.64,76603.74,76634.97,60.44931,4631686.9714126,1709,7.52641
1777599840000,76634.97,76634.98,76579.45,76618.08,52.84976,4048412.0009214,1270,1.91928
1777599900000,76618.07,76629.47,76615.97,76615.98,6.32764,484876.9601839,809,0.44143
1777599960000,76615.98,76631.91,76615.98,76631.9,1.70329,130511.7008148,584,1.4318
1777600020000,76631.9,76639.99,76631.9,76636.74,8.97559,687882.8823038,436,0.53451
1777600080000,76636.74,76720.0,76636.74,76694.41,25.95107,1990007.6859707,3153,17.54817
1777600140000,76694.41,76737.55,76692.63,76692.63,10.91059,837154.5500012,3101,2.74379
1777600200000,76692.63,76707.78,76686.02,76702.23,1.92193,147410.7065405,973,1.14182
1777600260000,76702.23,76702.23,76697.73,76702.23,1.49684,114808.183474,378,0.59617
1777600320000,76702.22,76702.23,76695.6,76701.21,5.54193,425067.6756228,547,0.2915
1777600380000,76701.22,76737.93,76701.21,76727.57,12.02352,922501.4342685,1724,8.85179
1777600440000,76727.58,76766.0,76727.58,76737.24,8.69053,666987.4636672,3010,5.68142
1777600500000,76737.25,76756.31,76732.8,76755.16,4.8266,370394.5442383,851,1.50553
1777600560000,76755.16,76755.17,76740.31,76740.31,1.75271,134520.4562231,752,0.43043
1777600620000,76740.31,76776.21,76740.31,76756.53,5.00822,384453.5950524,2339,1.63394
1777600680000,76756.53,76756.53,76682.34,76682.34,4.73558,363345.1469898,2237,2.06191
1777600740000,76682.34,76686.13,76657.81,76686.13,10.33209,792156.5461857,1561,3.90375
1777600800000,76686.12,76703.29,76686.12,76688.01,11.20025,859001.6532943,1149,6.74491
1777600860000,76688.01,76688.01,76660.81,76673.01,24.35934,1867620.1810889,1535,20.72764
1777600920000,76673.01,76673.01,76622.21,76622.22,8.13145,623291.8062441,1614,1.06236
1777600980000,76622.21,76651.61,76622.21,76651.6,4.40348,337485.1303433,1799,2.53249
1777601040000,76651.6,76678.86,76651.6,76678.86,1.32144,101310.7606506,1087,1.13673
1777601100000,76678.86,76678.86,76639.73,76658.47,10.13243,776884.4594706,1399,0.84323
1777601160000,76658.47,76671.01,76654.07,76671.01,2.09402,160536.4382212,685,0.53992
1777601220000,76671.0,76673.36,76664.46,76664.47,1.26358,96879.5476323,743,0.2247
1777601280000,76664.47,76694.0,76664.46,76693.87,13.1276,1006611.4609742,1149,12.51196
1777601340000,76693.87,76744.6,76693.87,76720.14,2.64275,202763.9484801,1636,1.64473
1777601400000,76720.15,76720.15,76687.54,76687.54,1.58879,121868.5532322,1094,0.37903
1777601460000,76687.54,76697.87,76684.83,76697.86,2.06021,157996.980617,625,1.46869
1777601520000,76697.86,76698.4,76697.86,76698.4,0.98552,75587.7766196,225,0.22156
1777601580000,76698.4,76708.58,76698.39,76708.58,0.74677,57281.5280524,357,0.46468
1777601640000,76708.57,76708.58,76668.24,76674.82,7.78285,596834.3032398,1617,2.72391
1777601700000,76674.82,76691.17,76674.82,76691.16,1.82947,140284.1900533,557,0.43655
1777601760000,76691.17,76721.76,76691.17,76721.75,1.41735,108729.3820021,753,1.01873
1777601820000,76721.75,76729.7,76689.74,76694.36,8.24881,632689.1586885,1416,6.25646
1777601880000,76694.35,76694.36,76661.6,76661.6,2.16455,165974.3644908,1119,0.23903
1777601940000,76661.6,76661.61,76620.89,76620.9,2.62028,200830.4861333,1134,0.15108
1777602000000,76620.89,76620.9,76610.1,76610.1,14.39497,1102816.4006223,809,0.97048
1777602060000,76610.11,76617.41,76610.1,76617.4,2.12107,162500.3913192,363,1.37862
1777602120000,76617.41,76617.41,76610.11,76616.49,1.31853,101018.673705,474,0.57352
1777602180000,76616.5,76632.61,76616.49,76632.6,1.54326,118245.3779805,657,1.43987
1777602240000,76632.61,76632.61,76619.99,76627.74,0.85959,65867.7443418,740,0.31484
1777602300000,76627.74,76629.47,76627.74,76629.46,0.8215,62950.5324354,159,0.30742
1777602360000,76629.46,76633.02,76629.46,76633.01,0.67812,51965.3842889,131,0.28179
1777602420000,76633.01,76643.17,76633.01,76643.17,0.65161,49940.1565687,287,0.28322
1777602480000,76643.17,76643.17,76639.55,76639.55,1.15782,88738.9092347,696,0.16847
