ts,open,high,low,close,volume,quote_volume,trades,taker_buy_volume
1777593600000,2257.51,2258.37,2257.21,2258.37,90.3009,203884.038629,1620,72.8121
1777593660000,2258.37,2260.2,2258.37,2259.98,120.9075,273195.403529,1260,97.7473
1777593720000,2259.98,2260.34,2259.96,2260.21,124.9711,282467.978338,594,96.5775
1777593780000,2260.2,2263.51,2260.2,2263.49,267.2784,604626.960251,1630,254.9777
1777593840000,2263.5,2263.77,2263.34,2263.65,150.6332,340963.700378,1428,123.7643
1777593900000,2263.64,2263.64,2262.02,2262.58,72.5762,164218.730147,1348,28.3228
1777593960000,2262.57,2263.61,2262.28,2262.28,43.9231,99401.940857,1694,20.9044
1777594020000,2262.27,2262.27,2261.7,2261.7,21.2842,48143.808936,553,8.0466
1777594080000,2261.71,2262.73,2261.7,2262.73,190.9999,432128.165593,852,188.1662
1777594140000,2262.74,2264.0,2262.74,2263.38,87.0005,196932.251918,1521,55.0925
1777594200000,2263.39,2263.39,2262.51,2262.52,54.9267,124296.660597,958,41.4408
1777594260000,2262.51,2262.52,2262.4,2262.4,9.3473,21147.897216,351,4.6465
1777594320000,2262.39,2263.2,2262.11,2263.2,43.3035,97975.180428,811,29.3196
1777594380000,2263.19,2263.19,2261.91,2261.91,37.4296,84685.30366,722,6.0853
1777594440000,2261.9,2262.22,2261.81,2262.22,102.1842,231159.567013,766,99.52
1777594500000,2262.22,2265.0,2262.22,2264.56,182.6586,413508.006942,2107,164.6382
1777594560000,2264.56,2265.89,2264.55,2265.89,87.5003,198189.64369,1316,74.1682
1777594620000,2265.9,2266.0,2264.65,2264.66,49.7465,112691.527176,845,23.6534
1777594680000,2264.65,2265.49,2264.65,2264.74,168.2524,381075.93894,1743,144.7486
1777594740000,2264.73,2264.74,2262.86,2262.89,190.4485,431167.880737,908,20.3409
1777594800000,2262.88,2262.98,2262.68,2262.98,71.261,161251.498415,699,44.2779
1777594860000,2262.99,2263.11,2262.46,2262.46,15.1741,34337.040186,634,5.6888
1777594920000,2262.45,2262.45,2261.09,2261.37,70.3953,159205.218686,1524,40.4078
1777594980000,2261.38,2261.72,2261.22,2261.22,73.3598,165901.319932,670,2.7366
1777595040000,2261.21,2261.5,2261.21,2261.28,21.3261,48226.215829,506,17.7915
1777595100000,2261.27,2261.88,2261.27,2261.79,12.2968,27810.911683,504,10.4226
1777595160000,2261.78,2261.79,2261.45,2261.46,6.6703,15085.755955,132,0.9444
1777595220000,2261.45,2261.95,2261.45,2261.95,9.9512,22506.925505,403,8.0476
1777595280000,2261.95,2262.09,2261.94,2262.01,28.757,65050.483215,181,4.9126
1777595340000,2262.01,2262.09,2262.01,2262.09,21.34,48271.52203,114,3.2234
1777595400000,2262.08,2263.51,2262.08,2262.72,35.4587,80231.405494,886,19.7993
1777595460000,2262.71,2262.88,2262.65,2262.88,12.586,28478.814902,297,5.7524
1777595520000,2262.88,2262.98,2262.46,2262.98,35.7108,80806.991353,650,14.7516
1777595580000,2262.97,2263.79,2262.97,2263.6,54.3363,122994.426846,602,47.7763
1777595640000,2263.61,2263.61,2261.73,2261.79,62.1333,140568.445348,1073,4.9907
1777595700000,2261.79,2262.48,2261.74,2262.47,25.2373,57086.923626,692,7.3657
1777595760000,2262.48,2262.48,2261.29,2261.29,45.7119,103409.321876,838,2.8347
1777595820000,2261.29,2261.82,2261.28,2261.54,36.7699,83155.507784,652,11.1335
1777595880000,2261.55,2261.96,2261.54,2261.85,18.738,42380.98908,370,10.9597
1777595940000,2261.85,2261.93,2261.28,2261.87,27.8289,62938.12832,632,17.9867
1777596000000,2261.87,2262.42,2261.86,2262.42,36.4062,82348.299968,426,35.3512
1777596060000,2262.42,2263.24,2262.39,2263.24,18.2144,41213.956444,706,10.8095
1777596120000,2263.24,2263.36,2262.95,2262.95,47.0289,106438.453692,721,23.7001
1777596180000,2262.94,2263.19,2262.44,2263.19,51.9257,117486.856041,1025,40.715
1777596240000,2263.19,2263.95,2263.18,2263.7,43.3584,98153.074412,786,29.5256
1777596300000,2263.7,2264.45,2263.69,2264.45,23.3434,52854.130064,612,21.3957
1777596360000,2264.44,2265.63,2263.6,2263.63,393.4655,891043.200376,2474,201.854
1777596420000,2263.63,2263.63,2262.44,2262.45,52.8703,119662.943037,690,5.5865
1777596480000,2262.44,2262.59,2262.11,2262.48,29.7855,67383.744705,816,9.8098
1777596540000,2262.49,2262.63,2261.54,2261.54,34.4736,77988.192334,786,9.8947
1777596600000,2261.54,2261.54,2261.02,2261.35,16.7644,37909.567399,617,9.8734
1777596660000,2261.36,2261.39,2260.48,2260.48,37.8016,85476.574023,663,23.7092
1777596720000,2260.48,2261.0,2260.17,2261.0,49.5713,112050.362231,709,9.0028
1777596780000,2260.99,2261.26,2260.99,2261.25,14.9851,33882.84751,197,9.5627
1777596840000,2261.26,2261.36,2260.4,2260.4,23.4463,53012.388375,691,4.7474
1777596900000,2260.41,2260.89,2260.4,2260.59,13.7186,31013.774507,592,4.3944
1777596960000,2260.58,2260.58,2259.9,2259.9,23.5518,53232.773925,529,6.0537
1777597020000,2259.89,2259.89,2259.29,2259.85,27.0994,61235.401811,760,10.0896
1777597080000,2259.86,2259.86,2259.12,2259.12,41.8988,94674.865628,963,27.7536
1777597140000,2259.11,2260.0,2258.74,2260.0,52.716,119092.54367,1165,17.7251
1777597200000,2260.0,2261.04,2260.0,2261.04,48.1843,108903.607509,922,39.3327
1777597260000,2261.04,2261.15,2260.6,2260.61,21.3171,48197.10929,551,16.2634
1777597320000,2260.6,2261.19,2260.38,2261.19,57.7866,130634.315666,731,32.2143
1777597380000,2261.18,2261.19,2261.18,2261.19,7.2953,16496.021578,82,3.5124
1777597440000,2261.18,2261.76,2261.18,2261.75,7.7515,17529.853213,397,2.896
1777597500000,2261.75,2262.49,2261.75,2262.48,32.4272,73359.016457,698,15.7598
1777597560000,2262.49,2263.47,2262.49,2263.16,66.2155,149868.734174,1073,12.2845
1777597620000,2263.16,2264.17,2263.15,2264.17,70.1217,158755.384164,742,34.7023
1777597680000,2264.17,2265.21,2264.12,2264.12,62.1001,140633.97196,1439,37.9954
1777597740000,2264.12,2264.12,2264.01,2264.05,5.5419,12547.162612,238,3.7792
1777597800000,2264.04,2264.61,2263.09,2263.09,80.4482,182146.287777,1161,31.1692
1777597860000,2263.09,2263.54,2263.09,2263.54,19.6871,44556.522432,497,18.4805
1777597920000,2263.55,2264.04,2263.54,2264.03,7.2017,16303.469182,359,5.0151
1777597980000,2264.04,2264.26,2263.93,2264.13,15.4085,34885.7724,508,9.969
1777598040000,2264.13,2264.13,2263.78,2263.78,56.0178,126829.256088,432,17.1445
1777598100000,2263.78,2265.58,2263.78,2265.16,121.799,275877.890314,1859,92.7041
1777598160000,2265.16,2265.17,2264.67,2264.9,30.1029,68181.404589,519,8.4255
1777598220000,2264.91,2264.91,2264.34,2264.35,32.7805,74235.449217,454,13.3548
1777598280000,2264.34,2265.3,2264.34,2265.16,33.8585,76687.27324,853,30.6303
1777598340000,2265.17,2265.17,2264.78,2264.79,41.0668,93019.966902,671,10.2368
1777598400000,2264.78,2264.78,2264.34,2264.75,23.4295,53055.980512,731,14.6854
1777598460000,2264.75,2264.77,2264.67,2264.68,60.4534,136910.08804,199,14.9908
1777598520000,2264.67,2264.9,2264.15,2264.16,49.2946,111633.508242,702,6.5729
1777598580000,2264.16,2264.35,2263.84,2263.88,69.3389,157001.090544,568,42.3181
1777598640000,2263.87,2263.88,2263.58,2263.58,14.626,33109.912603,355,1.8409
1777598700000,2263.58,2263.59,2262.45,2262.45,59.955,135678.496479,778,3.6987
1777598760000,2262.45,2262.45,2261.93,2262.08,35.2674,79782.317463,817,7.2847
1777598820000,2262.08,2262.21,2262.07,2262.21,29.5856,66924.7945,230,2.9792
1777598880000,2262.21,2262.24,2262.21,2262.24,5.181,11720.537748,86,2.0143
1777598940000,2262.25,2262.56,2262.24,2262.56,8.3737,18944.176261,340,6.768
1777599000000,2262.56,2262.69,2262.56,2262.61,25.9631,58743.80684,187,22.2582
1777599060000,2262.61,2262.95,2262.45,2262.95,94.2525,213257.133029,981,34.3083
1777599120000,2262.95,2262.95,2262.45,2262.67,86.4161,195517.480484,733,72.378
1777599180000,2262.69,2263.25,2262.46,2263.21,160.4983,363171.599839,905,153.2365
1777599240000,2263.22,2263.64,2263.21,2263.63,119.4333,270309.222318,510,113.5862
1777599300000,2263.64,2263.64,2263.63,2263.64,13.2807,30062.695563,59,10.4622
1777599360000,2263.64,2263.65,2263.28,2263.65,92.63,209664.085318,1244,50.6729
1777599420000,2263.66,2263.71,2263.65,2263.7,22.2368,50336.831466,144,1.7974
1777599480000,2263.71,2263.99,2263.68,2263.69,49.8272,112798.63724,885,12.0321
1777599540000,2263.68,2264.12,2263.68,2264.11,13.3083,30127.109136,450,12.5743
1777599600000,2264.12,2264.29,2264.11,2264.29,10.6044,24010.235659,231,3.1244
1777599660000,2264.3,2264.72,2264.3,2264.72,10.2068,23112.40431,474,7.4585
1777599720000,2264.72,2265.89,2264.71,2265.89,22.3236,50566.235931,926,21.1102
1777599780000,2265.89,2266.02,2265.27,2265.51,237.9168,539087.518404,1080,214.8764
1777599840000,2265.5,2265.87,2265.27,2265.86,59.8994,135697.797636,989,21.7236
1777599900000,2265.87,2265.91,2265.26,2265.26,50.2751,113910.022291,760,7.0315
1777599960000,2265.26,2265.87,2265.26,2265.86,31.8422,72136.520504,469,30.0397
1777600020000,2265.86,2266.35,2265.86,2266.34,63.0889,142966.379102,433,50.0045
1777600080000,2266.34,2268.75,2266.34,2267.85,325.1409,737259.539032,2546,294.8481
1777600140000,2267.85,2268.48,2267.28,2267.28,64.8216,147018.431021,1624,15.1577
1777600200000,2267.27,2267.89,2267.12,2267.38,89.7113,203432.236864,1315,60.0755
1777600260000,2267.37,2268.06,2266.82,2268.0,158.2941,358930.45344,1325,70.909
1777600320000,2268.0,2268.0,2267.66,2268.0,67.0109,151976.597917,565,60.6599
1777600380000,2267.99,2269.54,2267.7,2268.25,474.3628,1076143.154383,3051,197.0395
1777600440000,2268.26,2269.8,2268.26,2268.56,79.1722,179673.065794,1990,33.8296
1777600500000,2268.56,2269.84,2268.12,2269.54,161.283,365964.72773,1926,64.5182
1777600560000,2269.54,2269.92,2269.25,2269.62,84.3062,191327.577698,1107,32.8003
1777600620000,2269.63,2270.56,2269.34,2269.35,255.6239,580279.220433,1667,225.5013
1777600680000,2269.35,2269.35,2267.58,2267.59,72.0605,163490.827953,1387,19.9836
1777600740000,2267.59,2267.76,2267.3,2267.75,46.022,104354.646264,649,36.8417
1777600800000,2267.75,2268.32,2267.61,2267.62,59.3246,134538.888355,1052,22.4408
1777600860000,2267.62,2267.62,2266.66,2266.71,33.779,76581.561339,738,17.7135
1777600920000,2266.71,2266.71,2265.73,2265.74,102.3585,231951.790542,781,17.7206
1777600980000,2265.74,2266.62,2265.73,2266.41,71.043,160987.729083,1287,49.6322
1777601040000,2266.41,2267.31,2266.41,2267.31,35.3182,80059.885016,705,31.828
1777601100000,2267.32,2267.32,2266.41,2266.61,152.5984,345953.867764,795,3.4975
1777601160000,2266.61,2267.15,2266.58,2267.15,76.119,172546.993282,522,19.9616
1777601220000,2267.15,2267.54,2267.04,2267.04,89.554,203054.297268,639,20.46
1777601280000,2267.04,2269.33,2267.04,2269.33,170.1784,385976.867401,992,166.1289
1777601340000,2269.33,2270.0,2269.33,2269.63,101.6521,230713.504209,912,80.6107
1777601400000,2269.64,2269.64,2268.17,2268.18,41.6432,94484.3317,1024,7.4881
1777601460000,2268.17,2268.18,2267.82,2267.99,32.9619,74754.221618,657,29.2221
1777601520000,2268.0,2268.04,2267.94,2267.95,17.9479,40706.249509,181,3.2449
1777601580000,2267.94,2268.07,2267.94,2268.06,6.7533,15316.595014,136,4.187
1777601640000,2268.07,2268.07,2266.96,2266.96,18.7373,42487.235161,886,1.845
1777601700000,2266.97,2268.01,2266.97,2268.01,111.2375,252266.198869,722,107.7971
1777601760000,2267.96,2268.36,2267.96,2268.35,19.1521,43440.566795,368,16.1466
1777601820000,2268.35,2268.39,2267.07,2267.08,76.9732,174580.186728,959,16.8392
1777601880000,2267.08,2267.21,2266.0,2266.41,158.7131,359744.860292,1230,77.5462
1777601940000,2266.41,2266.42,2265.66,2265.66,77.9065,176551.760074,479,0.3403
1777602000000,2265.66,2265.85,2265.0,2265.39,171.7058,388946.874043,1365,65.1692
1777602060000,2265.4,2265.82,2265.39,2265.82,20.3942,46202.999995,313,14.5493
1777602120000,2265.81,2265.81,2265.41,2265.6,74.1634,168035.023318,406,9.5575
1777602180000,2265.6,2265.82,2265.6,2265.82,16.3558,37058.204774,195,11.67
